2021-12-15 19:12:425 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:200 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:350 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Colombia
2021-12-15 19:12:984 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:96 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:112 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:143 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:174 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:645 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:765 INFO  FamilyImmigrationStatusPage :37 - Selecting immigration status[[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //label[normalize-space()='Yes']]
2021-12-15 19:12:161 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (bd3508b6750d3ea64bbd513ab3d9f33b)] -> xpath: //button[normalize-space()='Continue']]
